date,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10,monthly_average,Label2,Label3,raw_text,clean_text,len_raw,len_clean
2019-09-12,20% of Argentine Corn Planted Very Little Soy Dryness Worries,2019/20 Brazilian Soybean Planting off to Slowest Start in 6 Years,Conventional Soybeans (non-GMO) Losing Ground in Mato Grosso,Soybean Planting in Rio Verde Goias off to an Uneven Start,2019/20 Brazil Soybean Planting off to a Slow Start 1% Planted,2019/20 Argentina Corn 16% Planted very few Soybeans Planted,Farmers in Western Mato Grosso are Anxious to Plant Soybeans,Deforestation Declined in Mato Grosso as Grain Prod. Increased,Santa Catarina to increase Soybean Acreage Decrease Corn Acreage,2019/20 Soy Planting in Brazil off to a Slower Start than Last Year,"8,61",0,-1,20% of Argentine Corn Planted Very Little Soy Dryness Worries 2019/20 Soy Planting in Brazil off to a Slower Start than Last Year 2019/20 Brazilian Soybean Planting off to Slowest Start in 6 Years Conventional Soybeans (non-GMO) Losing Ground in Mato Grosso Soybean Planting in Rio Verde Goias off to an Uneven Start 2019/20 Brazil Soybean Planting off to a Slow Start 1% Planted 2019/20 Argentina Corn 16% Planted very few Soybeans Planted Farmers in Western Mato Grosso are Anxious to Plant Soybeans Deforestation Declined in Mato Grosso as Grain Prod. Increased Santa Catarina to increase Soybean Acreage Decrease Corn Acreage,argentine corn planted little soy dryness worry soy planting brazil slower start last brazilian soybean planting slowest start year conventional soybean nongmo losing ground mato grosso soybean planting rio verde goias uneven start brazil soybean planting slow start planted argentina corn planted soybean planted farmer western mato grosso anxious plant soybean deforestation declined mato grosso grain prod increased santa catarina increase soybean acreage decrease corn acreage,101,66
2019-10-10,Delayed Soybean Planting in Brazil could Impact Safrinha Corn,Soybean Planting in Argentina just Getting Underway,2019/20 Brazilian Soybean Crop 46% Planted,Argentina Expected to Increase Commodity Export Taxes,Soybean Prices in Brazil Decline 5% over last Two Weeks,2019/20 Brazilian Soybeans 35% Planted About Average,Farmers in Bahia Brazil starting to Plant their 2019/20 Soybeans,2019/20 Soybean Planting in Mato Grosso do Sul slowest in 5 Years,2019/20 Brazil Soybeans 21% Planted vs. 34% in 2018/19,2019/20 Argentine Soybean Planting just getting Underway,"9,01",1,1,Delayed Soybean Planting in Brazil could Impact Safrinha Corn 2019/20 Argentine Soybean Planting just getting Underway Soybean Planting in Argentina just Getting Underway 2019/20 Brazilian Soybean Crop 46% Planted Argentina Expected to Increase Commodity Export Taxes Soybean Prices in Brazil Decline 5% over last Two Weeks 2019/20 Brazilian Soybeans 35% Planted About Average Farmers in Bahia Brazil starting to Plant their 2019/20 Soybeans 2019/20 Soybean Planting in Mato Grosso do Sul slowest in 5 Years 2019/20 Brazil Soybeans 21% Planted vs. 34% in 2018/19,delayed soybean planting brazil impact safrinha corn argentine soybean planting getting underway soybean planting argentina getting underway brazilian soybean crop planted argentina expected increase commodity export tax soybean price brazil decline last week brazilian soybean planted average farmer bahia brazil starting plant soybean soybean planting mato grosso sul slowest year brazil soybean planted,84,53
2019-11-08,First Case of Soybean Rust Confirmed in Brazilian Soybean Fields,Argentina Soy 39% Planted Corn 46% Dryer Forecast Worries,2019/20 Brazilian Soybeans Approaching 90% Planted,Surging Corn Exports Result in Higher Corn Prices in Brazil,Dry Areas of Argentina Received Showers Soybeans 32% Planted,Argentine Farmers Switching Some Intended Corn to Soybeans,2019/20 Brazilian Soybeans are 79% Planted,Delayed Soy Planting Could Reduce Brazil's Safrinha Corn Acreage,Paraguay Soy Farmers Worried about Weather and Potential Taxes,Strong Corn Prices in Mato Grosso Brazil's Largest Corn Producer,"9,31",1,1,First Case of Soybean Rust Confirmed in Brazilian Soybean Fields Strong Corn Prices in Mato Grosso Brazil's Largest Corn Producer Argentina Soy 39% Planted Corn 46% Dryer Forecast Worries 2019/20 Brazilian Soybeans Approaching 90% Planted Surging Corn Exports Result in Higher Corn Prices in Brazil Dry Areas of Argentina Received Showers Soybeans 32% Planted Argentine Farmers Switching Some Intended Corn to Soybeans 2019/20 Brazilian Soybeans are 79% Planted Delayed Soy Planting Could Reduce Brazil's Safrinha Corn Acreage Paraguay Soy Farmers Worried about Weather and Potential Taxes,first case soybean rust confirmed brazilian soybean field strong corn price mato grosso brazil largest corn producer argentina soy planted corn dryer forecast worry brazilian soybean approaching planted surging corn export result higher corn price brazil dry area argentina received shower soybean planted argentine farmer switching intended corn soybean brazilian soybean planted delayed soy planting reduce brazil safrinha corn acreage paraguay soy farmer worried weather potential tax,86,67
2019-12-10,Fewer Cases of Soybean Rust in Brazil vs. Last Growing Season,2019/20 Argentina Soybeans Stabilized with Improved Weather,Dry Weather Trimming Soy Yields in Southern Brazil and NE Brazil,Early Soybean Harvest under Way in Select Regions of Mato Grosso,Workshop Promotes Wheat Production in Mato Grosso Brazil,2019 Corn Prices in Mato Grosso Averaged 17% More than in 2018,New Joint Venture in Brazil for Corn-Based Ethanol Production,2019/20 Brazil Soy Generally OK Dryness in NE Brazil Worries,Argentina has Approximately 65800 Soybean Producers,Attractive Prices Encourage Brazilian Farmers to Sell their Grain,"8,98",0,-1,Fewer Cases of Soybean Rust in Brazil vs. Last Growing Season Attractive Prices Encourage Brazilian Farmers to Sell their Grain 2019/20 Argentina Soybeans Stabilized with Improved Weather Dry Weather Trimming Soy Yields in Southern Brazil and NE Brazil Early Soybean Harvest under Way in Select Regions of Mato Grosso Workshop Promotes Wheat Production in Mato Grosso Brazil 2019 Corn Prices in Mato Grosso Averaged 17% More than in 2018 New Joint Venture in Brazil for Corn-Based Ethanol Production 2019/20 Brazil Soy Generally OK Dryness in NE Brazil Worries Argentina has Approximately 65800 Soybean Producers,fewer case soybean rust brazil last growing season attractive price encourage brazilian farmer sell grain argentina soybean stabilized improved weather dry weather trimming soy yield southern brazil brazil early soybean harvest select region mato grosso workshop promotes wheat production mato grosso brazil corn price mato grosso averaged joint venture brazil cornbased ethanol production brazil soy generally dryness brazil worry argentina approximately soybean producer,94,63
2020-01-10,China's Grain Purchases Focused on Brazilian Soybeans,Domestic Corn Prices in Brazil Expected to Remain Strong in 2020,2019/20 Soybean Harvest Pace in Brazil Slower than Last Year,Ethanol Stimulates Safrinha Corn Production in Mato Grosso,2019/20 Argentina Soybeans 100% Planted,Farmers in Bahia Starting to Harvest their Irrigated Soybeans,Early Soybean Yields in Brazil are Generally Positive,Brazilian Analysts Optimistic Concerning Brazil's Soybean Exports,After a Dry Start Late Rains Benefit Soybeans in Paraguay,Mato Grosso Farmers have Sold 4.9% of their 2020/21 Soybean Crop,"9,31",1,1,China's Grain Purchases Focused on Brazilian Soybeans Mato Grosso Farmers have Sold 4.9% of their 2020/21 Soybean Crop Domestic Corn Prices in Brazil Expected to Remain Strong in 2020 2019/20 Soybean Harvest Pace in Brazil Slower than Last Year Ethanol Stimulates Safrinha Corn Production in Mato Grosso 2019/20 Argentina Soybeans 100% Planted Farmers in Bahia Starting to Harvest their Irrigated Soybeans Early Soybean Yields in Brazil are Generally Positive Brazilian Analysts Optimistic Concerning Brazil's Soybean Exports After a Dry Start Late Rains Benefit Soybeans in Paraguay,china grain purchase focused brazilian soybean mato grosso farmer sold soybean crop domestic corn price brazil expected remain strong soybean harvest pace brazil slower last ethanol stimulates safrinha corn production mato grosso argentina soybean planted farmer bahia starting harvest irrigated soybean early soybean yield brazil generally positive brazilian analyst optimistic concerning brazil soybean export dry start late rain benefit soybean paraguay,86,61
2020-02-11,Soy Producers and Processors in Argentina Upset over Higher Taxes,Domestic Grain Prices in Brazil Setting Record Highs,Domestic Corn Prices in Brazil Continue Very Strong,Emater Lowers Soy and Corn Estimates in Rio Grande do Sul,Brazil's Biodiesel Blend Increased to 12% Vegetable Oil (B12),"Brazil is ""Best Game in Town"" When it Comes to Soybean Exports",2019/20 Brazilian Soybeans 43.1% Harvested,Domestic Corn Prices in Brazil 20% Higher Than a Year Ago,Dry Weather could Impact Late Developing Soybeans in Argentina,Reaction to USDA's 2020 Outlook Conference,"9,03",0,-1,"Soy Producers and Processors in Argentina Upset over Higher Taxes Reaction to USDA's 2020 Outlook Conference Domestic Grain Prices in Brazil Setting Record Highs Domestic Corn Prices in Brazil Continue Very Strong Emater Lowers Soy and Corn Estimates in Rio Grande do Sul Brazil's Biodiesel Blend Increased to 12% Vegetable Oil (B12) Brazil is ""Best Game in Town"" When it Comes to Soybean Exports 2019/20 Brazilian Soybeans 43.1% Harvested Domestic Corn Prices in Brazil 20% Higher Than a Year Ago Dry Weather could Impact Late Developing Soybeans in Argentina",soy producer processor argentina upset higher tax reaction usda outlook conference domestic grain price brazil setting record high domestic corn price brazil continue strong emater lower soy corn estimate rio grande sul brazil biodiesel blend increased vegetable oil brazil best game town come soybean export brazilian soybean harvested domestic corn price brazil higher ago dry weather impact late developing soybean argentina,89,61
2020-03-10,Argentina Soybeans 8.1% Harvested Yields Variable,Brazil Soy 86% Harvested Rio Grande do Sul Severely Impacted,Only Minor Problems being Reported for Brazilian Logistics,Domestic Corn Prices in Brazil remain Strong,Soybean Yields in Rio Grande do Sul down at Least 40%,Brazilian Soybean Producers Recording Record High Profit Margins,Parana Farmers to Increase 2020 Winter Wheat Acreage by 5%,Brazilians Advised to Sell their Soy before Potential Stronger Real,Brazilian Producers Bullish on Future of Corn Ethanol Production,Brazil Soybeans 70% Harvested Variable Yields being Reported,"8,9",0,-1,Argentina Soybeans 8.1% Harvested Yields Variable Brazil Soybeans 70% Harvested Variable Yields being Reported Brazil Soy 86% Harvested Rio Grande do Sul Severely Impacted Only Minor Problems being Reported for Brazilian Logistics Domestic Corn Prices in Brazil remain Strong Soybean Yields in Rio Grande do Sul down at Least 40% Brazilian Soybean Producers Recording Record High Profit Margins Parana Farmers to Increase 2020 Winter Wheat Acreage by 5% Brazilians Advised to Sell their Soy before Potential Stronger Real Brazilian Producers Bullish on Future of Corn Ethanol Production,argentina soybean harvested yield variable brazil soybean harvested variable yield reported brazil soy harvested rio grande sul severely impacted minor problem reported brazilian logistics domestic corn price brazil remain strong soybean yield rio grande sul least brazilian soybean producer recording record high profit margin parana farmer increase winter wheat acreage brazilian advised sell soy potential stronger real brazilian producer bullish future corn ethanol production,87,64
2020-04-09,Soy Prices Continue to Increase in Brazil due to Weaker Currency,Brazil Crushers Compete with Exporters for Tight Soy Supplies,Imea Estimates Mato Grosso will surpass 10 mha of Soy in 2020/21,2019/20 Argentina Soy Harvest Ahead of Average Approaching 70%,U.S. Corn Planting 51% Complete Soy 23% both Ahead of Average,Brazilian Farmers Expected to Increase their Winter Wheat Acreage,Brazil Soy Supply Should be Adequate to Meet Demand in 2020,Paraguay Ethanol Production Impacted by Corvid-19 Pandemic,Brazil Continues to Export Soybeans at a Record Pace,Domestic Soybean Prices in Brazil Set Records Last Friday,"8,61",0,-1,Soy Prices Continue to Increase in Brazil due to Weaker Currency Domestic Soybean Prices in Brazil Set Records Last Friday Brazil Crushers Compete with Exporters for Tight Soy Supplies Imea Estimates Mato Grosso will surpass 10 mha of Soy in 2020/21 2019/20 Argentina Soy Harvest Ahead of Average Approaching 70% U.S. Corn Planting 51% Complete Soy 23% both Ahead of Average Brazilian Farmers Expected to Increase their Winter Wheat Acreage Brazil Soy Supply Should be Adequate to Meet Demand in 2020 Paraguay Ethanol Production Impacted by Corvid-19 Pandemic Brazil Continues to Export Soybeans at a Record Pace,soy price continue increase brazil due weaker currency domestic soybean price brazil set record last friday brazil crusher compete exporter tight soy supply imea estimate mato grosso surpass mha soy argentina soy harvest ahead average approaching corn planting complete soy ahead average brazilian farmer expected increase winter wheat acreage brazil soy supply adequate meet demand paraguay ethanol production impacted corvid pandemic brazil continues export soybean record pace,97,67
2020-05-12,Port of Paranagua Exports Record Amounts of Soybeans in 2020,Agricultural Equipment Sales Surge in Brazil,Brazil's Cotton Acreage to Decline in 2020/21 More Corn and Soy,2020 U.S. Soybean Crop 75% Planted and 52% Emerged,Soybeans are Gaining Acreage in the State of Sao Paulo Brazil,2019/20 Argentina Soybeans 93% Harvested Corn 43% Harvested,Itaipu Dam Opens Spillway to Increase Water Level of Parana River,Yacyreta Dam Increases Water Discharge to Aid Parana River,Weaker Currency Results in Higher Cost of Production in Brazil,2020 U.S. Corn 80% Planted Soybeans 53% Planted,"8,41",0,-1,Port of Paranagua Exports Record Amounts of Soybeans in 2020 2020 U.S. Corn 80% Planted Soybeans 53% Planted Agricultural Equipment Sales Surge in Brazil Brazil's Cotton Acreage to Decline in 2020/21 More Corn and Soy 2020 U.S. Soybean Crop 75% Planted and 52% Emerged Soybeans are Gaining Acreage in the State of Sao Paulo Brazil 2019/20 Argentina Soybeans 93% Harvested Corn 43% Harvested Itaipu Dam Opens Spillway to Increase Water Level of Parana River Yacyreta Dam Increases Water Discharge to Aid Parana River Weaker Currency Results in Higher Cost of Production in Brazil,port paranagua export record amount soybean corn planted soybean planted agricultural equipment sale surge brazil brazil cotton acreage decline corn soy soybean crop planted emerged soybean gaining acreage state sao paulo brazil argentina soybean harvested corn harvested itaipu dam open spillway increase water level parana river yacyreta dam increase water discharge aid parana river weaker currency result higher cost production brazil,93,61
2020-06-11,2020 U.S. Soybeans Starting to Bloom Dryness is a Concern,Conab Increases Soy Estimate 0.4 mt Lowers Corn Estimate 0.4 mt,2020 U.S. Corn Condition Declines 2% Soy Condition Unchanged,Increased Acreage and Late Rains Help Brazil Safrinha Corn,2020 U.S. Crop Conditions Improve 1% for both Corn and Soybeans,Currency Volatility Spurred Soybean Sales in Brazil,Depressed Ethanol Sales in Brazil show Signs of Recovery,Forward Contracting of Brazil Soybeans Should Slow,2020 U.S. Crop Condition-Split Decision Corn up 1% Soy Down 2%,Soy Planting Complete in Brazil's Northernmost State of Roraima,"8,49",0,0,2020 U.S. Soybeans Starting to Bloom Dryness is a Concern Soy Planting Complete in Brazil's Northernmost State of Roraima Conab Increases Soy Estimate 0.4 mt Lowers Corn Estimate 0.4 mt 2020 U.S. Corn Condition Declines 2% Soy Condition Unchanged Increased Acreage and Late Rains Help Brazil Safrinha Corn 2020 U.S. Crop Conditions Improve 1% for both Corn and Soybeans Currency Volatility Spurred Soybean Sales in Brazil Depressed Ethanol Sales in Brazil show Signs of Recovery Forward Contracting of Brazil Soybeans Should Slow 2020 U.S. Crop Condition-Split Decision Corn up 1% Soy Down 2%,soybean starting bloom dryness concern soy planting complete brazil northernmost state roraima conab increase soy estimate lower corn estimate corn condition decline soy condition unchanged increased acreage late rain help brazil safrinha corn crop condition improve corn soybean currency volatility spurred soybean sale brazil depressed ethanol sale brazil show sign recovery forward contracting brazil soybean slow crop conditionsplit decision corn soy,93,61
2020-07-10,2020 U.S. Corn Condition Declines 1% Soybeans Improve 1%,Corn Prices in Brazil supported by Exports Livestock and Ethanol,2020/21 Argentina Soybean and Corn Acreage Estimates,2020/21 Paraguay Soybean and Corn Acreage Estimates,2020 U.S. Corn Condition Unchanged Soybeans up 1% to 73% G/Ex,Itaipu Dam releasing more Water to Aid Paraguay Soybean Barges,Brazilian Corn Acreage could Increase 2.3% in 2020/21,Brazilian Soybean Acreage could Increase 4.2% in 2020/21,2020 U.S. Corn and Soy Crops Improve 3% to 72% Good to Excellent,Completion of Highway BR-163 lowers Transportation Costs 25%,"8,78",1,1,2020 U.S. Corn Condition Declines 1% Soybeans Improve 1% Completion of Highway BR-163 lowers Transportation Costs 25% Corn Prices in Brazil supported by Exports Livestock and Ethanol 2020/21 Argentina Soybean and Corn Acreage Estimates 2020/21 Paraguay Soybean and Corn Acreage Estimates 2020 U.S. Corn Condition Unchanged Soybeans up 1% to 73% G/Ex Itaipu Dam releasing more Water to Aid Paraguay Soybean Barges Brazilian Corn Acreage could Increase 2.3% in 2020/21 Brazilian Soybean Acreage could Increase 4.2% in 2020/21 2020 U.S. Corn and Soy Crops Improve 3% to 72% Good to Excellent,corn condition decline soybean improve completion highway lower transportation cost corn price brazil supported export livestock ethanol argentina soybean corn acreage estimate paraguay soybean corn acreage estimate corn condition unchanged soybean gex itaipu dam releasing water aid paraguay soybean barge brazilian corn acreage increase brazilian soybean acreage increase corn soy crop improve good excellent,91,54
2020-08-12,Mato Grosso to Produce More Corn than Soybeans in 2020/21,Soybean Planting Starts in Parana Brazil Today September 10th,U.S. Corn Condition down 1 to 61% G/E Soy down 1 to 65% G/E,Potential Long Term Soybean Expansion in Brazil,Annual Month-By-Month Crop Production Cycle in Brazil,Strong Exports Forces Brazil to Import Soybeans Corn and Rice,Spot Commodity Prices in Mato Grosso near Record High Levels,Soy Stocks Tight in Brazil may be Tight Again Second Half of 2021,2020 U.S. Corn Condition Declines 2% Corn is 12% Mature,2020 U.S. Soybean Condition Declines 3% 8% Dropping Leaves,"8,87",1,1,Mato Grosso to Produce More Corn than Soybeans in 2020/21 2020 U.S. Soybean Condition Declines 3% 8% Dropping Leaves Soybean Planting Starts in Parana Brazil Today September 10th U.S. Corn Condition down 1 to 61% G/E Soy down 1 to 65% G/E Potential Long Term Soybean Expansion in Brazil Annual Month-By-Month Crop Production Cycle in Brazil Strong Exports Forces Brazil to Import Soybeans Corn and Rice Spot Commodity Prices in Mato Grosso near Record High Levels Soy Stocks Tight in Brazil may be Tight Again Second Half of 2021 2020 U.S. Corn Condition Declines 2% Corn is 12% Mature,mato grosso produce corn soybean soybean condition decline dropping leaf soybean planting start parana brazil today september corn condition soy potential long term soybean expansion brazil annual monthbymonth crop production cycle brazil strong export force brazil import soybean corn rice spot commodity price mato grosso near record high level soy stock tight brazil tight second half corn condition decline corn mature,99,61
2020-09-11,2020/21 Brazil Soybeans 1.6% Planted Average is 4.5%,Brazil Soybeans R$ 160.00 per sack (approximately $13.35 per bu.),Corn Prices in Southern Brazil hit R$ 70.00 per sack ($5.80 per bu.),Soybean Oil Prices in Brazil Record High Carryover Record Low,"""Northern Arc"" of Ports Increase Share of Brazil's Grain Exports",Corn Prices in Mato Grosso continue to Set Record Highs,2020 U.S. Corn 15% Harvested Soybeans 20% Harvested,Soybean Supply Situation in Brazil Getting even Tighter,2020 U.S. Soybean Condition 63% G/E 6% Harvested,2020 U.S. Corn Condition Improves 1% G/E Soybeans Unchanged,"9,34",1,1,"2020/21 Brazil Soybeans 1.6% Planted Average is 4.5% 2020 U.S. Corn Condition Improves 1% G/E Soybeans Unchanged Brazil Soybeans R$ 160.00 per sack (approximately $13.35 per bu.) Corn Prices in Southern Brazil hit R$ 70.00 per sack ($5.80 per bu.) Soybean Oil Prices in Brazil Record High Carryover Record Low ""Northern Arc"" of Ports Increase Share of Brazil's Grain Exports Corn Prices in Mato Grosso continue to Set Record Highs 2020 U.S. Corn 15% Harvested Soybeans 20% Harvested Soybean Supply Situation in Brazil Getting even Tighter 2020 U.S. Soybean Condition 63% G/E 6% Harvested",brazil soybean planted average corn condition improves soybean unchanged brazil soybean per sack approximately per corn price southern brazil hit per sack per soybean oil price brazil record high carryover record low northern arc port increase share brazil grain export corn price mato grosso continue set record high corn harvested soybean harvested soybean supply situation brazil getting even tighter soybean condition harvested,94,62
2020-10-09,Brazil Importing U.S. Soybeans,Soybeans are Not a Major Contributor to Fires in Brazilian Amazon,2020/21 Argentina Corn 30% Planted Soybeans 2-3% Planted,Soybean and Corn Prices Continue to Set Records in Brazil,Farmers in N. Mato Grosso Working Double Shifts Planting Soy,Farmers in Parana Almost Double Soybean Planting in One Week,Completion of BR-163 Lowers Freight Costs out of Mato Grosso,2020/21 Argentina Corn 28% Planted Soybeans 1-2% Planted,Spot Prices for Soy and Corn Continue to Set Records in Mato Grosso,2020/21 Brazil Soybeans 23% Planted Average is 34%,"10,19",1,1,Brazil Importing U.S. Soybeans 2020/21 Brazil Soybeans 23% Planted Average is 34% Soybeans are Not a Major Contributor to Fires in Brazilian Amazon 2020/21 Argentina Corn 30% Planted Soybeans 2-3% Planted Soybean and Corn Prices Continue to Set Records in Brazil Farmers in N. Mato Grosso Working Double Shifts Planting Soy Farmers in Parana Almost Double Soybean Planting in One Week Completion of BR-163 Lowers Freight Costs out of Mato Grosso 2020/21 Argentina Corn 28% Planted Soybeans 1-2% Planted Spot Prices for Soy and Corn Continue to Set Records in Mato Grosso,brazil importing soybean brazil soybean planted average soybean major contributor fire brazilian amazon argentina corn planted soybean planted soybean corn price continue set record brazil farmer mato grosso working double shift planting soy farmer parana almost double soybean planting completion lower freight cost mato grosso argentina corn planted soybean planted spot price soy corn continue set record mato grosso,92,59
2020-11-10,Brazil Soybeans 90% Planted Rain is Improving but More is Needed,600 Trucks Carrying Paraguay Soy and Corn Waiting to Enter Brazil,U.S. Soybeans Unloaded at Port of Paranagua in Southern Brazil,After Record Highs Soybean Prices Declining in Brazil,2020/21 Parana Soybeans Rated 72% Good Worst in five Years,Soybean and Corn Prices Decline in Mato Grosso Brazil,Vessel of U.S. Soybeans Arrives at Port of Paranagua in Brazil,2020/21 Brazilian Soybeans 87% Planted Rainfall Improving,Higher Corn Prices in Brazil could Compensate for Lower Yields,Brazilian Farmers Already Purchasing Inputs for 2021/22 Soy Crop,"10,72",1,1,Brazil Soybeans 90% Planted Rain is Improving but More is Needed Brazilian Farmers Already Purchasing Inputs for 2021/22 Soy Crop 600 Trucks Carrying Paraguay Soy and Corn Waiting to Enter Brazil U.S. Soybeans Unloaded at Port of Paranagua in Southern Brazil After Record Highs Soybean Prices Declining in Brazil 2020/21 Parana Soybeans Rated 72% Good Worst in five Years Soybean and Corn Prices Decline in Mato Grosso Brazil Vessel of U.S. Soybeans Arrives at Port of Paranagua in Brazil 2020/21 Brazilian Soybeans 87% Planted Rainfall Improving Higher Corn Prices in Brazil could Compensate for Lower Yields,brazil soybean planted rain improving needed brazilian farmer already purchasing input soy crop truck carrying paraguay soy corn waiting enter brazil soybean unloaded port paranagua southern brazil record high soybean price declining brazil parana soybean rated good worst five year soybean corn price decline mato grosso brazil vessel soybean arrives port paranagua brazil brazilian soybean planted rainfall improving higher corn price brazil compensate lower yield,96,65
2020-12-10,Soy Harvest in Mato Grosso will be 15-20 Days Later Than Normal,January Critical for Brazilian Soybeans Some Areas Need Rain,Weather Improving in Brazil Early Maturing Soy Disappointing,2020/21 Argentina Soybeans 88% Planted 42% Good to Excellent,A Few Early Soybeans Harvested in Mato Grosso Last Week,Export Taxes on Argentina Soybeans back to 33%,Recent Rains in Central Brazil Help to Stabilize Soybean Crop,2.3% of Brazil's Soybeans are Conventional Soybeans (non-GMO),Argentina Soy 77% Planted Rain Needed to Plant Double-Crop,Early Weather Concerns Impact Soybean Production in Mato Grosso,"11,65",1,1,Soy Harvest in Mato Grosso will be 15-20 Days Later Than Normal Early Weather Concerns Impact Soybean Production in Mato Grosso January Critical for Brazilian Soybeans Some Areas Need Rain Weather Improving in Brazil Early Maturing Soy Disappointing 2020/21 Argentina Soybeans 88% Planted 42% Good to Excellent A Few Early Soybeans Harvested in Mato Grosso Last Week Export Taxes on Argentina Soybeans back to 33% Recent Rains in Central Brazil Help to Stabilize Soybean Crop 2.3% of Brazil's Soybeans are Conventional Soybeans (non-GMO) Argentina Soy 77% Planted Rain Needed to Plant Double-Crop,soy harvest mato grosso day later normal early weather concern impact soybean production mato grosso january critical brazilian soybean area need rain weather improving brazil early maturing soy disappointing argentina soybean planted good excellent early soybean harvested mato grosso last export tax argentina soybean back recent rain central brazil help stabilize soybean crop brazil soybean conventional soybean nongmo argentina soy planted rain needed plant doublecrop,92,65
